Feature,Mean |SHAP|
numerical__Entrainment_RightWrist_acc_y_spectral_centroid,0.0013227613
numerical__TouchNose_Right_GyroY_IQR,0.0012078515
numerical__DrinkGlas_RightWrist_gyro_magnitude_spectral_entropy,0.0011756714
numerical__Relaxed_RightWrist_acc_magnitude_spectral_centroid,0.0011163703
numerical__HoldWeight_Right_GyroMag_Mean,0.0011040041
numerical__HoldWeight_LeftWrist_acc_x_spectral_entropy,0.0010680857
numerical__TouchNose_Left_GyroMag_Mean,0.0010515075
numerical__HoldWeight_Right_GyroMag_Std,0.0010289435
numerical__CrossArms_LeftWrist_acc_magnitude_spectral_centroid,0.0009907881
numerical__DrinkGlas_Left_AccZ_Std,0.0009785241
numerical__PointFinger_Left_GyroY_Min,0.0009450731
numerical__PointFinger_Left_GyroMag_IQR,0.000886093
numerical__LiftHold_RightWrist_acc_magnitude_spectral_centroid,0.0008365633
numerical__TouchIndex_RightWrist_gyro_magnitude_spectral_entropy,0.0008316165
numerical__Relaxed_LeftWrist_acc_z_spectral_entropy,0.00077704724
numerical__CrossArms_RightWrist_acc_magnitude_spectral_centroid,0.00074860064
numerical__Relaxed_RightWrist_acc_magnitude_spectral_entropy,0.0007049454
numerical__TouchIndex_Right_AccX_Mean,0.00062328513
numerical__TouchNose_Left_GyroY_Median,0.00060990994
numerical__LiftHold_Left_GyroZ_Max,0.0005905684
numerical__TouchIndex_RightWrist_gyro_y_spectral_entropy,0.0005651108
numerical__CrossArms_RightWrist_gyro_y_spectral_entropy,0.0005508928
numerical__TouchNose_Right_AccX_IQR,0.0005436638
numerical__TouchNose_Right_GyroY_Std,0.0005097224
numerical__HoldWeight_Left_GyroY_IQR,0.0
numerical__DrinkGlas_Right_GyroY_IQR,0.0
numerical__DrinkGlas_Left_GyroY_IQR,0.0
numerical__TouchNose_Right_GyroY_Range,0.0
numerical__weight_kg,0.0
numerical__height_cm,0.0
numerical__sexual_function_count,0.0
numerical__distortion_perception_count,0.0
numerical__apathy_attention_memory_count,0.0
numerical__LiftHold_Right_GyroZ_IQR,0.0
numerical__LiftHold_Left_GyroZ_IQR,0.0
numerical__HoldWeight_Right_GyroZ_IQR,0.0
numerical__HoldWeight_Left_GyroZ_IQR,0.0
numerical__TouchNose_Left_GyroZ_Range,0.0
