Feature,Mean |SHAP|
numerical__TouchIndex_Right_AccX_Mean,0.0018301951
numerical__LiftHold_Left_AccY_Max,0.0015981834
numerical__StretchHold_LeftWrist_gyro_x_spectral_centroid,0.0015715605
numerical__LiftHold_Left_AccMag_Median,0.0015594021
numerical__LiftHold_Left_AccMag_IQR,0.001545301
numerical__CrossArms_Right_GyroX_Mean,0.0015321575
numerical__StretchHold_Left_AccZ_Max,0.0015288884
numerical__StretchHold_Left_GyroZ_IQR,0.0014861594
numerical__DrinkGlas_Right_GyroMag_Min,0.0014156811
numerical__LiftHold_Left_AccX_Std,0.001407753
numerical__Relaxed_RightWrist_acc_z_spectral_centroid,0.0013823833
numerical__CrossArms_RightWrist_acc_x_spectral_entropy,0.0013637542
numerical__PointFinger_Left_GyroY_Energy,0.0012584373
numerical__LiftHold_RightWrist_acc_y_spectral_entropy,0.0012549417
numerical__TouchIndex_RightWrist_gyro_y_spectral_entropy,0.0011729008
numerical__CrossArms_LeftWrist_gyro_z_spectral_entropy,0.0011653868
numerical__HoldWeight_LeftWrist_acc_y_spectral_centroid,0.0010657359
numerical__HoldWeight_Right_GyroY_Max,0.0010362971
numerical__StretchHold_Left_AccX_Std,0.00083264586
numerical__PointFinger_Left_GyroY_Min,0.0008259289
numerical__HoldWeight_LeftWrist_acc_z_spectral_entropy,0.0008210085
numerical__DrinkGlas_LeftWrist_acc_z_spectral_entropy,0.00079994835
numerical__HoldWeight_LeftWrist_acc_y_spectral_entropy,0.00078251417
numerical__TouchIndex_LeftWrist_gyro_z_spectral_entropy,0.00078124896
numerical__HoldWeight_RightWrist_acc_x_dominant_frequency,0.0007183454
numerical__CrossArms_Right_AccY_IQR,0.0007007223
numerical__DrinkGlas_Left_GyroZ_Std,0.00064932735
numerical__LiftHold_Right_GyroMag_Mean,0.000430571
numerical__Q15,0.0003690851
numerical__TouchIndex_LeftWrist_acc_magnitude_spectral_entropy,0.0003302971
numerical__CrossArms_Right_AccMag_Median,0.0
numerical__DrinkGlas_Left_AccMag_Median,0.0
numerical__HoldWeight_Left_AccMag_Median,0.0
numerical__LiftHold_Right_AccMag_Median,0.0
numerical__StretchHold_Left_AccMag_Median,0.0
numerical__CrossArms_Left_AccMag_Min,0.0
numerical__CrossArms_Right_AccMag_Min,0.0
numerical__DrinkGlas_Right_AccMag_Min,0.0
numerical__HoldWeight_Left_AccMag_Min,0.0
numerical__LiftHold_Left_AccMag_Min,0.0
numerical__TouchNose_Right_AccMag_Min,0.0
numerical__HoldWeight_Left_AccMag_IQR,0.0
numerical__LiftHold_Right_AccMag_IQR,0.0
numerical__StretchHold_Left_AccMag_IQR,0.0
numerical__HoldWeight_Left_AccMag_RMS,0.0
numerical__LiftHold_Left_AccMag_RMS,0.0
numerical__StretchHold_Left_AccMag_RMS,0.0
numerical__DrinkGlas_Left_GyroMag_Mean,0.0
numerical__HoldWeight_Left_GyroMag_Mean,0.0
numerical__HoldWeight_Right_GyroMag_Mean,0.0
numerical__LiftHold_Left_GyroMag_Mean,0.0
numerical__StretchHold_Left_GyroMag_Mean,0.0
numerical__TouchNose_Left_GyroMag_Mean,0.0
numerical__CrossArms_Left_GyroMag_Median,0.0
numerical__DrinkGlas_Left_GyroMag_Median,0.0
numerical__HoldWeight_Left_GyroMag_Median,0.0
numerical__HoldWeight_Right_GyroMag_Median,0.0
numerical__LiftHold_Left_GyroMag_Median,0.0
numerical__LiftHold_Right_GyroMag_Median,0.0
numerical__TouchNose_Left_GyroMag_Median,0.0
numerical__HoldWeight_Right_GyroMag_Std,0.0
numerical__TouchNose_Right_GyroMag_Std,0.0
numerical__CrossArms_Left_GyroMag_Min,0.0
numerical__CrossArms_Right_GyroMag_Min,0.0
numerical__LiftHold_Right_GyroMag_Min,0.0
numerical__StretchHold_Left_GyroMag_Min,0.0
numerical__DrinkGlas_Right_GyroMag_Max,0.0
numerical__HoldWeight_Left_GyroMag_Max,0.0
numerical__LiftHold_Left_GyroMag_Max,0.0
numerical__TouchNose_Left_GyroMag_Max,0.0
numerical__DrinkGlas_Right_GyroMag_Range,0.0
numerical__HoldWeight_Left_GyroMag_Range,0.0
numerical__LiftHold_Left_GyroMag_Range,0.0
numerical__HoldWeight_Left_GyroMag_IQR,0.0
numerical__HoldWeight_Right_GyroMag_IQR,0.0
numerical__PointFinger_Left_GyroMag_IQR,0.0
numerical__TouchNose_Left_GyroMag_IQR,0.0
numerical__TouchNose_Right_GyroMag_IQR,0.0
numerical__HoldWeight_Left_GyroMag_RMS,0.0
numerical__HoldWeight_Right_GyroMag_RMS,0.0
numerical__LiftHold_Left_GyroMag_RMS,0.0
numerical__PointFinger_Left_GyroMag_RMS,0.0
numerical__TouchNose_Left_GyroMag_RMS,0.0
numerical__DrinkGlas_Left_GyroMag_Energy,0.0
numerical__PointFinger_Left_GyroMag_Energy,0.0
numerical__TouchNose_Left_GyroMag_Energy,0.0
numerical__TouchNose_Right_GyroMag_Energy,0.0
numerical__CrossArms_LeftWrist_acc_y_spectral_entropy,0.0
numerical__StretchHold_Left_AccZ_IQR,0.0
numerical__Q12,0.0
numerical__CrossArms_LeftWrist_gyro_magnitude_dominant_frequency,0.0
numerical__CrossArms_LeftWrist_gyro_magnitude_spectral_centroid,0.0
numerical__CrossArms_LeftWrist_gyro_magnitude_spectral_entropy,0.0
numerical__CrossArms_LeftWrist_gyro_x_dominant_frequency,0.0
numerical__CrossArms_LeftWrist_gyro_y_dominant_frequency,0.0
numerical__HoldWeight_Left_AccX_RMS,0.0
numerical__Q30,0.0
numerical__CrossArms_LeftWrist_gyro_z_dominant_frequency,0.0
numerical__Q29,0.0
numerical__Q13,0.0
numerical__CrossArms_RightWrist_acc_magnitude_spectral_centroid,0.0
numerical__CrossArms_RightWrist_acc_magnitude_spectral_entropy,0.0
numerical__Q14,0.0
numerical__Q16,0.0
numerical__Q18,0.0
numerical__CrossArms_RightWrist_acc_z_dominant_frequency,0.0
numerical__Q19,0.0
numerical__Q20,0.0
numerical__CrossArms_RightWrist_gyro_x_dominant_frequency,0.0
numerical__CrossArms_RightWrist_gyro_y_dominant_frequency,0.0
numerical__CrossArms_RightWrist_gyro_y_spectral_centroid,0.0
numerical__Q21,0.0
numerical__Q24,0.0
numerical__CrossArms_RightWrist_gyro_z_spectral_entropy,0.0
numerical__Q26,0.0
numerical__Q27,0.0
numerical__Q28,0.0
categorical__alcohol_effect_on_tremor_Improvement,0.0
numerical__DrinkGlas_LeftWrist_gyro_magnitude_spectral_centroid,0.0
numerical__DrinkGlas_LeftWrist_gyro_magnitude_spectral_entropy,0.0
numerical__DrinkGlas_LeftWrist_gyro_x_dominant_frequency,0.0
numerical__DrinkGlas_LeftWrist_gyro_x_spectral_centroid,0.0
numerical__DrinkGlas_LeftWrist_gyro_x_spectral_entropy,0.0
numerical__DrinkGlas_LeftWrist_gyro_x_spectral_power,0.0
numerical__DrinkGlas_RightWrist_acc_magnitude_spectral_centroid,0.0
numerical__DrinkGlas_RightWrist_acc_magnitude_spectral_entropy,0.0
numerical__DrinkGlas_RightWrist_acc_x_dominant_frequency,0.0
numerical__DrinkGlas_RightWrist_acc_y_dominant_frequency,0.0
numerical__DrinkGlas_RightWrist_gyro_magnitude_spectral_centroid,0.0
numerical__LiftHold_Left_AccX_RMS,0.0
numerical__DrinkGlas_RightWrist_gyro_x_dominant_frequency,0.0
numerical__DrinkGlas_RightWrist_gyro_x_spectral_centroid,0.0
numerical__DrinkGlas_RightWrist_gyro_x_spectral_entropy,0.0
numerical__DrinkGlas_RightWrist_gyro_y_spectral_entropy,0.0
numerical__DrinkGlas_RightWrist_gyro_z_spectral_entropy,0.0
numerical__Entrainment_LeftWrist_acc_y_spectral_centroid,0.0
numerical__StretchHold_Left_AccX_RMS,0.0
numerical__LiftHold_Left_AccY_Std,0.0
numerical__Entrainment_RightWrist_acc_y_spectral_centroid,0.0
numerical__Entrainment_RightWrist_acc_y_spectral_entropy,0.0
numerical__LiftHold_Right_AccY_Std,0.0
numerical__HoldWeight_LeftWrist_acc_magnitude_spectral_centroid,0.0
numerical__StretchHold_Left_AccY_Std,0.0
numerical__TouchIndex_Right_AccY_Min,0.0
numerical__CrossArms_Left_AccY_IQR,0.0
numerical__DrinkGlas_Left_AccY_IQR,0.0
numerical__DrinkGlas_Right_AccY_IQR,0.0
numerical__HoldWeight_Right_AccY_IQR,0.0
numerical__LiftHold_Left_AccY_IQR,0.0
numerical__HoldWeight_LeftWrist_gyro_x_spectral_entropy,0.0
numerical__CrossArms_LeftWrist_acc_z_dominant_frequency,0.0
numerical__HoldWeight_LeftWrist_gyro_y_spectral_power,0.0
numerical__HoldWeight_LeftWrist_gyro_z_dominant_frequency,0.0
numerical__LiftHold_Right_AccY_IQR,0.0
numerical__LiftHold_Left_AccY_RMS,0.0
numerical__LiftHold_Right_AccY_RMS,0.0
