Feature,Mean |SHAP|
numerical__RelaxedTask_RightWrist_gyro_x_spectral_entropy,0.009308774
numerical__RelaxedTask_LeftWrist_gyro_y_dominant_frequency,0.009049268
numerical__DrinkGlas_Left_AccY_IQR,0.008889184
numerical__HoldWeight_LeftWrist_acc_x_spectral_entropy,0.008810857
numerical__Relaxed_RightWrist_gyro_y_spectral_centroid,0.008809744
numerical__StretchHold_RightWrist_acc_x_spectral_entropy,0.008801289
numerical__DrinkGlas_Right_GyroZ_Std,0.008787219
numerical__StretchHold_RightWrist_gyro_y_dominant_frequency,0.008694218
numerical__TouchIndex_RightWrist_gyro_z_spectral_entropy,0.008559861
numerical__TouchIndex_LeftWrist_gyro_z_spectral_entropy,0.008555883
numerical__LiftHold_Left_GyroZ_Max,0.008281436
numerical__CrossArms_LeftWrist_gyro_magnitude_spectral_centroid,0.008186561
numerical__Entrainment_RightWrist_acc_z_spectral_centroid,0.008099703
numerical__DrinkGlas_Right_AccZ_IQR,0.0077254088
numerical__HoldWeight_Right_GyroY_Range,0.0073722196
numerical__TouchNose_LeftWrist_gyro_magnitude_spectral_power,0.0073284637
numerical__StretchHold_Left_AccMag_Median,0.007321369
numerical__PointFinger_Left_GyroMag_Std,0.00730202
numerical__TouchNose_RightWrist_acc_x_spectral_centroid,0.0071790884
numerical__StretchHold_LeftWrist_gyro_y_dominant_frequency,0.007119824
numerical__Entrainment_LeftWrist_acc_z_spectral_entropy,0.0070779673
numerical__TouchIndex_RightWrist_acc_magnitude_spectral_entropy,0.0070654503
numerical__TouchIndex_RightWrist_gyro_magnitude_spectral_entropy,0.0069666523
numerical__DrinkGlas_Left_AccZ_IQR,0.006875625
numerical__TouchNose_LeftWrist_acc_y_spectral_centroid,0.0068149013
numerical__HoldWeight_LeftWrist_acc_z_spectral_centroid,0.00671659
numerical__HoldWeight_LeftWrist_gyro_x_spectral_centroid,0.006699659
numerical__HoldWeight_Left_GyroMag_Median,0.0066343695
numerical__TouchNose_Left_GyroY_Min,0.0065492243
numerical__DrinkGlas_Right_AccMag_Min,0.0065210112
numerical__StretchHold_Left_AccY_IQR,0.0064541213
numerical__Relaxed_RightWrist_gyro_magnitude_spectral_centroid,0.006409902
numerical__HoldWeight_LeftWrist_acc_y_spectral_entropy,0.0062900335
numerical__TouchNose_RightWrist_acc_magnitude_spectral_centroid,0.0060799336
numerical__LiftHold_Right_AccMag_Median,0.006025145
numerical__PointFinger_Left_AccX_IQR,0.006022913
numerical__TouchNose_RightWrist_gyro_x_spectral_entropy,0.0058825314
numerical__HoldWeight_Left_AccY_IQR,0.005633079
numerical__PointFinger_LeftWrist_gyro_x_spectral_entropy,0.0055450806
numerical__DrinkGlas_RightWrist_gyro_x_spectral_centroid,0.005303463
numerical__HoldWeight_RightWrist_acc_magnitude_spectral_centroid,0.0052767773
numerical__StretchHold_RightWrist_gyro_x_spectral_entropy,0.005229106
numerical__LiftHold_RightWrist_gyro_y_spectral_centroid,0.0052029216
numerical__DrinkGlas_Left_GyroY_IQR,0.00510921
numerical__TouchNose_LeftWrist_gyro_magnitude_spectral_centroid,0.0050666
numerical__Q22,0.005017056
numerical__CrossArms_LeftWrist_acc_magnitude_spectral_entropy,0.0049861716
numerical__PointFinger_Left_GyroMag_IQR,0.0049658674
numerical__HoldWeight_LeftWrist_acc_y_spectral_centroid,0.004912244
numerical__PointFinger_Right_GyroY_Max,0.0048534465
numerical__HoldWeight_LeftWrist_gyro_y_dominant_frequency,0.0048025986
numerical__CrossArms_LeftWrist_gyro_y_spectral_centroid,0.0047692135
numerical__LiftHold_LeftWrist_acc_x_spectral_centroid,0.0047671194
numerical__TouchNose_Right_AccZ_Min,0.004712981
numerical__HoldWeight_RightWrist_acc_y_spectral_entropy,0.004639388
numerical__HoldWeight_Right_GyroY_RMS,0.0046245744
numerical__DrinkGlas_RightWrist_acc_y_dominant_frequency,0.0046199397
numerical__HoldWeight_Left_AccMag_Min,0.004588224
numerical__HoldWeight_RightWrist_acc_z_spectral_centroid,0.004579424
numerical__StretchHold_LeftWrist_gyro_x_spectral_entropy,0.004569702
numerical__HoldWeight_RightWrist_acc_x_spectral_entropy,0.004541628
numerical__DrinkGlas_LeftWrist_acc_x_dominant_frequency,0.0044334917
numerical__StretchHold_Left_AccX_IQR,0.0042681117
numerical__StretchHold_Left_AccZ_Max,0.004246037
numerical__RelaxedTask_RightWrist_acc_y_spectral_entropy,0.004236477
numerical__LiftHold_Left_GyroMag_Median,0.0042326683
numerical__height_cm,0.0041917167
numerical__TouchNose_RightWrist_gyro_y_spectral_centroid,0.0041864966
numerical__TouchNose_Left_AccX_IQR,0.0041786158
